image,coco_class,suspected_av14,cx,cy,w,h,decision
15e7cfaf-2238-4c56-89f2-f3747bf1a16d_1_00003.jpg,tv,signboard,0.586699,0.229953,0.235237,0.095913,signboard
15e7cfaf-2238-4c56-89f2-f3747bf1a16d_1_00004.jpg,tv,signboard,0.252697,0.190815,0.070874,0.042436,signboard
15e7cfaf-2238-4c56-89f2-f3747bf1a16d_1_00007.jpg,tv,signboard,0.410629,0.134837,0.114818,0.060887,signboard
15e7cfaf-2238-4c56-89f2-f3747bf1a16d_1_00007.jpg,tv,signboard,0.856209,0.158998,0.158694,0.053040,signboard
15e7cfaf-2238-4c56-89f2-f3747bf1a16d_1_00008.jpg,tv,signboard,0.534021,0.048865,0.155481,0.077069,signboard
15e7cfaf-2238-4c56-89f2-f3747bf1a16d_1_00008.jpg,tv,signboard,0.247112,0.095396,0.058981,0.062977,signboard
15e7cfaf-2238-4c56-89f2-f3747bf1a16d_1_00009.jpg,tv,signboard,0.502366,0.029207,0.215647,0.058194,signboard
15e7cfaf-2238-4c56-89f2-f3747bf1a16d_1_00017.jpg,tv,signboard,0.699243,0.041336,0.128154,0.057532,signboard
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00047.jpg,bench,chair/table/stairs_up,0.818911,0.892296,0.362177,0.214007,drop
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00057.jpg,refrigerator,signboard/door/pole,0.722207,0.446338,0.462958,0.395211,drop
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00068.jpg,bench,chair/table/stairs_up,0.484563,0.916638,0.571898,0.165600,drop
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00077.jpg,tv,signboard,0.688344,0.249110,0.072240,0.060913,drop
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00084.jpg,refrigerator,signboard/door/pole,0.614205,0.498005,0.771168,0.979597,signboard
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00088.jpg,tv,signboard,0.511386,0.376666,0.165620,0.115624,drop
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00139.jpg,refrigerator,signboard/door/pole,0.262670,0.567604,0.280855,0.297484,drop
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00170.jpg,tv,signboard,0.377655,0.340259,0.266336,0.132308,signboard
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00171.jpg,tv,signboard,0.529778,0.445613,0.940443,0.651755,signboard
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00181.jpg,bench,chair/table/stairs_up,0.500359,0.656509,0.996300,0.675947,stairs_up
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00196.jpg,refrigerator,signboard/door/pole,0.496224,0.420224,0.992449,0.774204,signboard
4c23ea05-c9c4-48f7-add7-a5db7f2e7b62_00205.jpg,refrigerator,signboard/door/pole,0.502002,0.505972,0.994299,0.980456,signboard
9fd8198b-0f7b-4fb2-9ccb-e25d4d4d8faf_1_00209.jpg,stop sign,signboard,0.584501,0.089994,0.105093,0.085421,signboard
9fd8198b-0f7b-4fb2-9ccb-e25d4d4d8faf_1_00212.jpg,tv,signboard,0.609613,0.288830,0.077380,0.061290,drop
9fd8198b-0f7b-4fb2-9ccb-e25d4d4d8faf_1_00216.jpg,tv,signboard,0.959549,0.244830,0.078957,0.046356,drop
9fd8198b-0f7b-4fb2-9ccb-e25d4d4d8faf_1_00226.jpg,stop sign,signboard,0.597477,0.172483,0.086595,0.082212,drop
9fd8198b-0f7b-4fb2-9ccb-e25d4d4d8faf_1_00234.jpg,stop sign,signboard,0.533699,0.576425,0.259744,0.494145,signboard
9fd8198b-0f7b-4fb2-9ccb-e25d4d4d8faf_1_00244.jpg,tv,signboard,0.871135,0.385524,0.180709,0.151409,drop
9fd8198b-0f7b-4fb2-9ccb-e25d4d4d8faf_1_00247.jpg,refrigerator,signboard/door/pole,0.287082,0.338274,0.176546,0.170999,signboard
9fd8198b-0f7b-4fb2-9ccb-e25d4d4d8faf_1_00249.jpg,bench,chair/table/stairs_up,0.800390,0.820631,0.399219,0.356269,chair
9fd8198b-0f7b-4fb2-9ccb-e25d4d4d8faf_1_00250.jpg,refrigerator,signboard/door/pole,0.349193,0.331455,0.378119,0.316178,door
