image,coco_class,suspected_av14,cx,cy,w,h,decision
oi_tr_0009399f91f86b40.jpg,Stairs,stairs_up/stairs_down,0.686250,0.734687,0.432500,0.513125,stairs_up
oi_tr_000db814e722951d.jpg,Stairs,stairs_up/stairs_down,0.360351,0.789165,0.720703,0.418741,stairs_down
oi_tr_00103b9719cc1cda.jpg,Stairs,stairs_up/stairs_down,0.408438,0.858999,0.245625,0.181906,stairs_up
oi_tr_0029a5b9094eaebb.jpg,Stairs,stairs_up/stairs_down,0.687148,0.861250,0.584428,0.186250,stairs_up
oi_tr_0093540d64befe27.jpg,Stairs,stairs_up/stairs_down,0.362812,0.613509,0.725625,0.771107,stairs_up
oi_tr_00c31dd7f6a4e4df.jpg,Stairs,stairs_up/stairs_down,0.294922,0.809559,0.160156,0.125000,stairs_up
oi_tr_00ce728f9c824947.jpg,Stairs,stairs_up/stairs_down,0.545625,0.694262,0.395000,0.609595,stairs_up
oi_tr_00d54ced733f4511.jpg,Stairs,stairs_up/stairs_down,0.491996,0.499688,0.983992,0.999375,stairs_up
oi_tr_0104fcde0127d8f9.jpg,Stairs,stairs_up/stairs_down,0.499688,0.499584,0.999375,0.999167,stairs_up
oi_tr_01105e10e4f4b0cf.jpg,Stairs,stairs_up/stairs_down,0.303438,0.800833,0.606875,0.396667,stairs_down
oi_tr_0121bb98a865597d.jpg,Stairs,stairs_up/stairs_down,0.718333,0.695312,0.535000,0.608125,stairs_up
oi_tr_0140853418d07a0e.jpg,Stairs,stairs_up/stairs_down,0.221875,0.431839,0.443750,0.437909,stairs_up
oi_tr_0140853418d07a0e.jpg,Stairs,stairs_up/stairs_down,0.561875,0.393558,0.875000,0.422969,stairs_up
oi_tr_015ed80ce5cfa6a0.jpg,Stairs,stairs_up/stairs_down,0.185000,0.420416,0.370000,0.234167,stairs_down
oi_tr_015ed80ce5cfa6a0.jpg,Stairs,stairs_up/stairs_down,0.641250,0.977500,0.490000,0.043334,drop
oi_tr_01628bba2f208d05.jpg,Stairs,stairs_up/stairs_down,0.499584,0.842812,0.999167,0.313125,stairs_down
oi_tr_01628bba2f208d05.jpg,Stairs,stairs_up/stairs_down,0.342917,0.234063,0.550833,0.179375,stairs_down
oi_tr_0193ae1d026e8864.jpg,Stairs,stairs_up/stairs_down,0.507188,0.967917,0.498125,0.062500,stairs_down
oi_tr_0193ae1d026e8864.jpg,Stairs,stairs_up/stairs_down,0.564062,0.188333,0.103125,0.115000,drop
oi_tr_01b2bf51bd5ef1ac.jpg,Stairs,stairs_up/stairs_down,0.298333,0.624062,0.596667,0.750625,stairs_up
oi_tr_01fe7e477b2400a9.jpg,Stairs,stairs_up/stairs_down,0.487692,0.533695,0.960000,0.867391,stairs_up
oi_tr_021e768d7d819b45.jpg,Stairs,stairs_up/stairs_down,0.506111,0.485625,0.794444,0.525000,stairs_up
oi_tr_022cda34f8118bec.jpg,Stairs,stairs_up/stairs_down,0.603125,0.736892,0.792500,0.524345,stairs_down
oi_tr_022ff9ffc6100595.jpg,Stairs,stairs_up/stairs_down,0.369136,0.577813,0.423077,0.688125,stairs_down
oi_tr_0298954fe23969f6.jpg,Stairs,stairs_up/stairs_down,0.609375,0.865854,0.720000,0.266417,stairs_up
oi_tr_0298954fe23969f6.jpg,Stairs,stairs_up/stairs_down,0.695312,0.545967,0.125625,0.138837,stairs_up
oi_tr_030801a64c9c785b.jpg,Stairs,stairs_up/stairs_down,0.097638,0.701562,0.070866,0.049375,stairs_up
oi_tr_03093122d051c2ba.jpg,Stairs,stairs_up/stairs_down,0.424687,0.836304,0.664375,0.325516,stairs_down
oi_tr_0369e60a691e2c6c.jpg,Stairs,stairs_up/stairs_down,0.418125,0.565666,0.548750,0.866792,stairs_up
oi_tr_0446493bc326a62a.jpg,Stairs,stairs_up/stairs_down,0.499688,0.499636,0.999375,0.999273,stairs_down
oi_tr_0474a31a37ebf382.jpg,Stairs,stairs_up/stairs_down,0.498889,0.549167,0.997778,0.898333,stairs_up
oi_tr_060850c0a2d4ab36.jpg,Stairs,stairs_up/stairs_down,0.575732,0.680312,0.840167,0.608125,stairs_down
oi_tr_06bef927bbc06534.jpg,Stairs,stairs_up/stairs_down,0.499531,0.499688,0.999062,0.999375,stairs_up
oi_tr_073487419a418f94.jpg,Stairs,stairs_up/stairs_down,0.165937,0.795136,0.331875,0.407858,drop
oi_tr_0766400ba06a3487.jpg,Stairs,stairs_up/stairs_down,0.702187,0.731769,0.365625,0.308466,stairs_up
oi_tr_07d3e2ea777d336f.jpg,Stairs,stairs_up/stairs_down,0.589063,0.807860,0.819375,0.382533,stairs_up
oi_tr_07e5682547aa8f1d.jpg,Stairs,stairs_up/stairs_down,0.652439,0.621563,0.421200,0.351875,stairs_up
oi_tr_07fd364a6eb8a820.jpg,Stairs,stairs_up/stairs_down,0.615347,0.394583,0.634653,0.789167,stairs_up
oi_tr_086327096b49ce53.jpg,Stairs,stairs_up/stairs_down,0.415000,0.593340,0.107500,0.109756,stairs_up
oi_tr_086327096b49ce53.jpg,Stairs,stairs_up/stairs_down,0.551250,0.643527,0.170000,0.474672,stairs_down
