image,coco_class,suspected_av14,cx,cy,w,h,decision
oi_tr_000db814e722951d.jpg,Stairs,stairs_down/stairs_up,0.360351,0.789165,0.720703,0.418741,stairs_up
oi_tr_01105e10e4f4b0cf.jpg,Stairs,stairs_down/stairs_up,0.303438,0.800833,0.606875,0.396667,stairs_up
oi_tr_015ed80ce5cfa6a0.jpg,Stairs,stairs_down/stairs_up,0.185000,0.420416,0.370000,0.234167,stairs_up
oi_tr_01628bba2f208d05.jpg,Stairs,stairs_down/stairs_up,0.499584,0.842812,0.999167,0.313125,stairs_down
oi_tr_01628bba2f208d05.jpg,Stairs,stairs_down/stairs_up,0.342917,0.234063,0.550833,0.179375,stairs_down
oi_tr_0193ae1d026e8864.jpg,Stairs,stairs_down/stairs_up,0.507188,0.967917,0.498125,0.062500,stairs_down
oi_tr_022cda34f8118bec.jpg,Stairs,stairs_down/stairs_up,0.603125,0.736892,0.792500,0.524345,stairs_up
oi_tr_022ff9ffc6100595.jpg,Stairs,stairs_down/stairs_up,0.369136,0.577813,0.423077,0.688125,stairs_up
oi_tr_03093122d051c2ba.jpg,Stairs,stairs_down/stairs_up,0.424687,0.836304,0.664375,0.325516,stairs_up
oi_tr_0446493bc326a62a.jpg,Stairs,stairs_down/stairs_up,0.499688,0.499636,0.999375,0.999273,stairs_down
oi_tr_060850c0a2d4ab36.jpg,Stairs,stairs_down/stairs_up,0.575732,0.680312,0.840167,0.608125,stairs_down
oi_tr_086327096b49ce53.jpg,Stairs,stairs_down/stairs_up,0.551250,0.643527,0.170000,0.474672,stairs_down
oi_tr_0a5a024468d00afd.jpg,Stairs,stairs_down/stairs_up,0.499511,0.499270,0.999023,0.998540,stairs_down
oi_tr_0c70f7c0f3ab154a.jpg,Stairs,stairs_down/stairs_up,0.480938,0.813670,0.765625,0.355805,stairs_down
oi_tr_0ea4507dd92c8758.jpg,Stairs,stairs_down/stairs_up,0.510313,0.885965,0.778125,0.225878,stairs_up
oi_tr_1651fab362631d59.jpg,Stairs,stairs_down/stairs_up,0.571111,0.920000,0.644444,0.153334,drop
oi_tr_1655929c74ef63fc.jpg,Stairs,stairs_down/stairs_up,0.467588,0.684688,0.935176,0.629375,stairs_up
oi_tr_1fc796afd8699f0b.jpg,Stairs,stairs_down/stairs_up,0.462500,0.535416,0.231250,0.279167,stairs_down
oi_tr_26466da0f54e844e.jpg,Stairs,stairs_down/stairs_up,0.429644,0.607187,0.859287,0.784375,stairs_up
oi_tr_33dc63680c1e5049.jpg,Stairs,stairs_down/stairs_up,0.292578,0.798958,0.310156,0.400000,stairs_down
oi_tr_34f2e6e97214549f.jpg,Stairs,stairs_down/stairs_up,0.601266,0.774062,0.126582,0.100625,stairs_down
oi_tr_34f2e6e97214549f.jpg,Stairs,stairs_down/stairs_up,0.798372,0.833438,0.401447,0.331875,stairs_down
