url,place_type,country,note
https://www.youtube.com/watch?v=QhFZzvpMSDw,mall,india,Lulu Mall Trivandrum food court walking tour 4K
https://www.youtube.com/watch?v=qeL-mb8c3u4,mall,uae,Dubai Mall inside 4K walking tour
https://www.youtube.com/watch?v=Gxsp0hZBAN4,mall,uae,Dubai Mall complete weekend walking tour 4K
https://www.youtube.com/watch?v=O8n7cXvtWgs,mall,uae,Dubai Mall inside walking tour 4K
https://www.youtube.com/watch?v=RONCxY_lljc,hospital,india,AIIMS New Delhi inside tour
https://www.youtube.com/watch?v=lW5AoWvo7Jg,hospital,india,AIIMS Bhubaneswar guided video tour
https://www.youtube.com/watch?v=Cm8vWakf2os,hospital,india,AIIMS Jammu hospital inside tour
https://www.youtube.com/watch?v=NkHiRlZ2qzM,college,india,AIIMS Delhi campus tour
https://www.youtube.com/watch?v=lZGONm47510,college,india,Lady Shri Ram College tour inside classrooms
https://www.youtube.com/watch?v=QJacdFkYFyY,college,india,Top private university campus tour
